url,fuel_type,horsepower,MPG,seats,curb_weight,length,width,height,wheel_base,drivetrain,body_type
https://www.carvana.com/vehicle/3475072?refSource=srp,Gas,174,31,5,2899,182.3,70.8,55.7,106.3,FWD,sedan
https://www.carvana.com/vehicle/3489463?refSource=srp,Gas,292,19,5,3940,198.4,82.7,57.8,120,RWD,sedan
https://www.carvana.com/vehicle/3509585?refSource=srp,Gas,185,24,5,3466,191.1,73.4,58.1,110.4,FWD,sedan
https://www.carvana.com/vehicle/3470316?refSource=srp,Gas,192,29,5,3230,196.1,73.3,57.1,111.4,FWD,sedan
https://www.carvana.com/vehicle/3485245?refSource=srp,Gas,292,19,5,3940,198.4,82.7,57.8,120,RWD,sedan
https://www.carvana.com/vehicle/3374960?refSource=srp,Gas,147,30,5,2844,181.9,70.9,56.5,106.3,FWD,sedan
https://www.carvana.com/vehicle/3459006?refSource=srp,Gas,292,19,5,3940,198.4,82.7,57.8,120,RWD,sedan
https://www.carvana.com/vehicle/3501836?refSource=srp,Gas,300,19,5,4039,200.8,82.7,57.8,120,RWD,sedan
https://www.carvana.com/vehicle/3409587?refSource=srp,Gas,145,28,5,2943,179.1,69.9,56.3,106.3,FWD,sedan
https://www.carvana.com/vehicle/3452431?refSource=srp,Gas,185,25,5,3355,191.1,73.4,58.1,110.4,FWD,sedan
https://www.carvana.com/vehicle/3469128?refSource=srp,Gas,145,28,5,2943,179.1,69.9,56.3,106.3,FWD,sedan
https://www.carvana.com/vehicle/3451466?refSource=srp,Gas,145,28,5,2943,179.1,69.9,56.3,106.3,FWD,sedan
https://www.carvana.com/vehicle/3409231?refSource=srp,Gas,153,27,5,2892,183.7,70.5,57.4,106.3,FWD,sedan
https://www.carvana.com/vehicle/3483549?refSource=srp,Gas,292,19,5,3940,198.4,82.7,57.8,120,RWD,sedan
https://www.carvana.com/vehicle/3497522?refSource=srp,Gas,203,28,5,3310,192.1,72.4,56.9,111.2,FWD,sedan
https://www.carvana.com/vehicle/3361236?refSource=srp,Gas,206,28,5,3395,192.7,72.4,56.9,111.2,FWD,sedan
https://www.carvana.com/vehicle/3496752?refSource=srp,Gas,185,27,5,3267,191.4,72.8,57.7,109.3,FWD,sedan
https://www.carvana.com/vehicle/3453656?refSource=srp,Gas,185,27,5,3358,191.4,72.8,57.7,109.3,FWD,sedan
https://www.carvana.com/vehicle/3374454?refSource=srp,Gas,145,25,5,2804,179.5,70.1,56.3,106.3,FWD,sedan
https://www.carvana.com/vehicle/3471622?refSource=srp,Gas,268,20,5,3572,197.6,72.8,58.5,111,FWD,sedan
https://www.carvana.com/vehicle/3432006?refSource=srp,Gas,240,21,5,3472,191.8,83.5,58.2,112.2,FWD,sedan
https://www.carvana.com/vehicle/3509642?refSource=srp,Gas,175,22,5,3427,191.7,83.5,58.2,112.2,FWD,sedan
https://www.carvana.com/vehicle/3440008?refSource=srp,Gas,177,23,5,3279,194.1,72.7,58.1,110.2,FWD,sedan
https://www.carvana.com/vehicle/3485676?refSource=srp,Gas,185,27,5,3367,192.5,72.8,57.7,109.3,FWD,sedan
https://www.carvana.com/vehicle/3390273?refSource=srp,Gas,120,33,5,2767,172.6,67.9,57.1,101.6,FWD,sedan
https://www.carvana.com/vehicle/3459248?refSource=srp,Gas,185,24,5,3362,191.1,73.2,57.7,110.4,FWD,sedan
